Employee Number,empNo.requestType,Date and Time, Access Granted?
cfi000,cfi000.CreatePersonalDetails,2019-03-04 01:39:23,true
cfi000,cfi000.ReadPersonalDetails,2019-03-04 01:39:23,true
cfi000,cfi000.CreatePersonalDetails,2019-03-04 01:39:31,true
cfi000,cfi000.ReadPersonalDetails,2019-03-04 01:39:31,true
cfi000,cfi000.CreatePersonalDetails,2019-03-04 01:39:31,true
cfi000,cfi000.CreatePersonalDetails,2019-03-04 01:39:31,false
cfi000,cfi000.CreatePersonalDetails,2019-03-04 01:43:29,true
cfi000,cfi000.ReadPersonalDetails,2019-03-04 01:43:29,true
cfi000,cfi000.AmendPersonalDetails,2019-03-04 01:43:29,true
cfi000,cfi000.ReadPersonalDetails,2019-03-04 01:43:29,true
cfi000,cfi000.ReadPersonalDetails,2019-03-04 01:43:29,true
cfi000,cfi000.CreatePersonalDetails,2019-03-04 01:43:38,true
cfi000,cfi000.ReadPersonalDetails,2019-03-04 01:43:38,true
cfi000,cfi000.AmendPersonalDetails,2019-03-04 01:43:38,true
cfi000,cfi000.ReadPersonalDetails,2019-03-04 01:43:38,true
cfi000,cfi000.ReadPersonalDetails,2019-03-04 01:43:38,true
cfi000,cfi000.CreatePersonalDetails,2019-03-04 01:43:46,true
cfi000,cfi000.ReadPersonalDetails,2019-03-04 01:43:46,true
cfi000,cfi000.AmendPersonalDetails,2019-03-04 01:43:46,true
cfi000,cfi000.ReadPersonalDetails,2019-03-04 01:43:46,true
cfi000,cfi000.ReadPersonalDetails,2019-03-04 01:43:46,true
cfi000,cfi000.CreatePersonalDetails,2019-03-04 01:43:47,true
cfi000,cfi000.ReadPersonalDetails,2019-03-04 01:43:47,true
cfi000,cfi000.CreatePersonalDetails,2019-03-04 01:43:47,true
cfi000,cfi000.CreatePersonalDetails,2019-03-04 01:43:47,false
cfi000,cfi000.CreatePersonalDetails,2019-03-04 01:45:15,true
cfi000,cfi000.ReadPersonalDetails,2019-03-04 01:45:15,true
cfi000,cfi000.AmendPersonalDetails,2019-03-04 01:45:15,true
cfi000,cfi000.ReadPersonalDetails,2019-03-04 01:45:15,true
cfi000,cfi000.ReadPersonalDetails,2019-03-04 01:45:15,true
cfi000,cfi000.CreatePersonalDetails,2019-03-04 01:45:15,true
cfi000,cfi000.ReadPersonalDetails,2019-03-04 01:45:15,true
cfi000,cfi000.CreatePersonalDetails,2019-03-04 01:45:16,true
cfi000,cfi000.CreatePersonalDetails,2019-03-04 01:45:16,false
cfi000,cfi000.CreatePersonalDetails,2019-03-04 02:07:33,true
cfi000,cfi000.ReadPersonalDetails,2019-03-04 02:07:33,true
cfi000,cfi000.AmendPersonalDetails,2019-03-04 02:07:33,true
cfi000,cfi000.ReadPersonalDetails,2019-03-04 02:07:33,true
cfi000,cfi000.ReadPersonalDetails,2019-03-04 02:07:33,true
cfi000,cfi000.CreatePersonalDetails,2019-03-04 02:07:33,true
cfi000,cfi000.ReadPersonalDetails,2019-03-04 02:07:33,true
cfi000,cfi000.CreatePersonalDetails,2019-03-04 02:07:33,true
cfi000,cfi000.CreatePersonalDetails,2019-03-04 02:07:33,false
cfi000,aaa000.CreatePersonalDetails,2019-03-04 02:23:51,true
cfi000,a000.ReadPersonalDetails,2019-03-04 02:23:51,false
cfi000,aaa000.CreatePersonalDetails,2019-03-04 02:24:20,true
cfi000,aaa000.ReadPersonalDetails,2019-03-04 02:24:20,true
cfi000,aaa000.AmendPersonalDetails,2019-03-04 02:24:20,true
cfi000,aaa000.ReadPersonalDetails,2019-03-04 02:24:20,true
cfi000,aaa000.ReadPersonalDetails,2019-03-04 02:24:20,true
cfi000,aaa000.CreatePersonalDetails,2019-03-04 02:25:10,true
cfi000,aaa000.ReadPersonalDetails,2019-03-04 02:25:10,true
cfi000,aaa000.AmendPersonalDetails,2019-03-04 02:25:10,true
cfi000,aaa000.ReadPersonalDetails,2019-03-04 02:25:10,true
cfi000,aaa000.ReadPersonalDetails,2019-03-04 02:25:10,true
aaa000,aaa000.CreatePersonalDetails,2019-03-04 02:25:10,false
cfi000,cfi000.CreatePersonalDetails,2019-03-04 02:25:11,true
cfi000,cfi000.ReadPersonalDetails,2019-03-04 02:25:11,true
cfi000,cfi000.CreatePersonalDetails,2019-03-04 02:25:11,true
cfi000,cfi000.CreatePersonalDetails,2019-03-04 02:25:11,false
aaa000,aaa000.CreatePersonalDetails,2019-03-04 02:25:11,false
aaa000,aaa000.ReadPersonalDetails,2019-03-04 02:25:11,false
cfi000,aaa000.CreatePersonalDetails,2019-03-04 02:25:57,true
aaa000,aaa000.ReadPersonalDetails,2019-03-04 02:25:57,false
cfi000,aaa000.CreatePersonalDetails,2019-03-04 02:27:50,true
aaa000,aaa000.ReadPersonalDetails,2019-03-04 02:27:50,true
aaa000,aaa000.AmendPersonalDetails,2019-03-04 02:27:50,true
aaa000,aaa000.ReadPersonalDetails,2019-03-04 02:27:50,true
aaa000,aaa000.ReadPersonalDetails,2019-03-04 02:27:50,true
cfi000,emp001.ReadPersonalDetails,2019-03-04 02:34:29,false
cfi000,aaa000.CreatePersonalDetails,2019-03-05 13:15:35,true
cfi000,aaa000.ReadPersonalDetails,2019-03-05 13:15:36,true
cfi000,aaa000.AmendPersonalDetails,2019-03-05 13:15:36,true
cfi000,aaa000.ReadPersonalDetails,2019-03-05 13:15:36,true
cfi000,aaa000.ReadPersonalDetails,2019-03-05 13:15:36,true
aaa000,aaa000.CreatePersonalDetails,2019-03-05 13:15:36,false
cfi000,cfi000.CreatePersonalDetails,2019-03-05 13:15:36,true
cfi000,cfi000.ReadPersonalDetails,2019-03-05 13:15:36,true
cfi000,cfi000.CreatePersonalDetails,2019-03-05 13:15:36,true
cfi000,cfi000.CreatePersonalDetails,2019-03-05 13:15:36,false
cfi000,emp001.ReadPersonalDetails,2019-03-05 13:15:36,false
cfi000,aaa000.CreatePersonalDetails,2019-03-05 13:15:36,true
aaa000,aaa000.ReadPersonalDetails,2019-03-05 13:15:36,true
aaa000,aaa000.AmendPersonalDetails,2019-03-05 13:15:36,true
aaa000,aaa000.ReadPersonalDetails,2019-03-05 13:15:36,true
aaa000,aaa000.ReadPersonalDetails,2019-03-05 13:15:36,true
cfi000,aaa000.CreatePersonalDetails,2019-03-05 13:15:54,true
cfi000,aaa000.ReadPersonalDetails,2019-03-05 13:15:54,true
cfi000,aaa000.AmendPersonalDetails,2019-03-05 13:15:54,true
cfi000,aaa000.ReadPersonalDetails,2019-03-05 13:15:54,true
cfi000,aaa000.ReadPersonalDetails,2019-03-05 13:15:54,true
aaa000,aaa000.CreatePersonalDetails,2019-03-05 13:15:54,false
cfi000,cfi000.CreatePersonalDetails,2019-03-05 13:15:55,true
cfi000,cfi000.ReadPersonalDetails,2019-03-05 13:15:55,true
cfi000,cfi000.CreatePersonalDetails,2019-03-05 13:15:55,true
cfi000,cfi000.CreatePersonalDetails,2019-03-05 13:15:55,false
cfi000,emp001.ReadPersonalDetails,2019-03-05 13:15:55,false
cfi000,aaa000.CreatePersonalDetails,2019-03-05 13:15:55,true
aaa000,aaa000.ReadPersonalDetails,2019-03-05 13:15:55,true
aaa000,aaa000.AmendPersonalDetails,2019-03-05 13:15:55,true
aaa000,aaa000.ReadPersonalDetails,2019-03-05 13:15:55,true
aaa000,aaa000.ReadPersonalDetails,2019-03-05 13:15:55,true
cfi000,aaa000.CreatePersonalDetails,2019-03-08 12:12:11,true
cfi000,aaa000.ReadPersonalDetails,2019-03-08 12:12:11,true
cfi000,aaa000.AmendPersonalDetails,2019-03-08 12:12:11,true
cfi000,aaa000.ReadPersonalDetails,2019-03-08 12:12:11,true
cfi000,aaa000.ReadPersonalDetails,2019-03-08 12:12:11,true
aaa000,aaa000.CreatePersonalDetails,2019-03-08 12:12:12,false
cfi000,cfi000.CreatePersonalDetails,2019-03-08 12:12:12,true
cfi000,cfi000.ReadPersonalDetails,2019-03-08 12:12:12,true
cfi000,cfi000.CreatePersonalDetails,2019-03-08 12:12:12,true
cfi000,cfi000.CreatePersonalDetails,2019-03-08 12:12:12,false
